,full_name,position,team,targets,rec,rec_yards,air_yards,yac,td,adot,racr,ms_air,tgt_share,wopr,ppr
124,Marquise Goodwin,WR,SF,21,12,186,281,33,1,13.4,0.66,0.16,0.08,0.23,38.1
125,Damion Ratley,WR,CLE,24,12,200,307,47,1,12.8,0.65,0.11,0.08,0.2,38
126,Tim Patrick,WR,DEN,31,16,218,315,38,0,10.2,0.69,0.16,0.12,0.3,37.8
127,DeSean Jackson,WR,PHI,10,9,159,147,15,2,14.7,1.08,0.23,0.13,0.35,36.9
128,Andy Isabella,WR,ARI,13,9,189,82,140,1,6.3,2.3,0.03,0.03,0.07,35.4
129,Byron Pringle,WR,KC,16,12,170,178,63,1,11.1,0.96,0.04,0.04,0.08,35
130,Zay Jones,WR,OAK,27,20,147,234,58,0,8.7,0.63,0.11,0.08,0.2,35
131,Duke Williams,WR,BUF,19,12,166,210,50,1,11.1,0.79,0.2,0.14,0.36,34.6
132,Dante Pettis,WR,SF,24,11,109,185,23,2,7.7,0.59,0.1,0.09,0.2,33.9
133,Laquon Treadwell,WR,MIN,16,9,184,190,57,1,11.9,0.97,0.08,0.05,0.13,33.4
134,J.J. Arcega-Whiteside,WR,PHI,22,10,169,392,16,1,17.8,0.43,0.13,0.06,0.17,32.9
135,Kalif Raymond,WR,TEN,12,9,170,219,14,1,18.2,0.78,0.1,0.05,0.15,31.5
136,Cordarrelle Patterson,WR,CHI,17,11,83,84,72,0,4.9,0.99,0.02,0.03,0.06,29.6
137,Trevor Davis,WR,OAK,10,7,83,82,55,0,8.2,1.01,0.04,0.04,0.08,28.6
138,Richie James,WR,SF,10,6,165,119,103,1,11.9,1.39,0.04,0.02,0.06,28.4
139,DeAndre Carter,WR,HOU,14,11,162,151,57,0,10.8,1.07,0.03,0.03,0.06,27.2
140,Keelan Doss,WR,OAK,14,11,133,124,57,0,8.9,1.07,0.1,0.07,0.18,24.3
141,Mack Hollins,WR,PHI,22,10,125,293,33,0,13.3,0.43,0.09,0.07,0.16,22.5
142,Devin Smith,WR,DAL,9,5,113,179,32,1,19.9,0.63,0.18,0.09,0.27,22.3
143,Dontrelle Inman,WR,LAC,13,8,132,197,31,0,15.2,0.67,0.15,0.09,0.24,21.2
144,Josh Gordon,WR,SEA,11,7,139,197,16,0,17.9,0.71,0.12,0.07,0.2,20.9
145,Olamide Zaccheaus,WR,ATL,5,3,115,69,63,1,13.8,1.67,0.04,0.02,0.06,20.5
146,Christian Blake,WR,ATL,24,11,91,182,24,0,7.6,0.5,0.08,0.08,0.18,20.1
147,Brandon Zylstra,WR,CAR,12,8,106,160,10,0,13.3,0.66,0.09,0.06,0.15,18.6
148,Braxton Berrios,WR,NYJ,13,6,115,132,87,0,10.2,0.87,0.03,0.02,0.06,17.5
149,Antonio Callaway,WR,CLE,15,8,89,153,44,0,10.2,0.58,0.14,0.11,0.26,16.9
150,Marcell Ateman,WR,OAK,10,5,116,154,19,0,15.4,0.75,0.14,0.07,0.2,16.6
151,Rashard Higgins,WR,CLE,11,4,55,116,9,1,10.5,0.47,0.06,0.04,0.11,15.5
152,Chris Hogan,WR,CAR,15,8,67,122,29,0,8.1,0.55,0.05,0.05,0.12,14.7
153,Zay Jones,WR,BUF,18,7,69,250,19,0,13.9,0.28,0.18,0.12,0.31,13.9
154,Riley Ridley,WR,CHI,7,6,69,62,15,0,8.9,1.11,0.07,0.06,0.13,12.9
155,Robert Foster,WR,BUF,18,3,64,451,32,0,25.1,0.14,0.15,0.06,0.19,12.3
156,Deon Cain,WR,PIT,6,5,72,84,11,0,14,0.86,0.07,0.04,0.11,12.2
157,Trent Sherfield,WR,ARI,13,4,80,195,10,0,15,0.41,0.07,0.04,0.11,12
158,Andre Patton,WR,LAC,17,6,56,299,28,0,17.6,0.19,0.13,0.05,0.17,11.6
159,KhaDarel Hodge,WR,CLE,10,4,76,161,9,0,16.1,0.47,0.04,0.02,0.07,11.6
160,Deonte Harris,WR,NO,6,6,24,-13,37,0,-2.2,-1.85,0,0.01,0.01,11.5
161,Ryan Switzer,WR,PIT,11,8,27,17,17,0,1.5,1.59,0.01,0.04,0.06,10.7
162,Diontae Spencer,WR,DEN,8,6,31,49,33,0,6.1,0.63,0.01,0.02,0.03,9.7
